ENSG00000166035		E7EUJ1	E7EUJ1_HUMAN
ENSG00000166035		E7EUK6	E7EUK6_HUMAN
ENSG00000166035		P11150	LIPC_HUMAN
ENSG00000275410		A0A087WXS2	A0A087WXS2_HUMAN
ENSG00000275410		A0A087WZC2	A0A087WZC2_HUMAN
ENSG00000275410		A0A0C4DGS8	A0A0C4DGS8_HUMAN
ENSG00000275410		E0YMJ8	E0YMJ8_HUMAN
ENSG00000275410	ENSG00000275410 -> P35680-1;P35680-2	P35680	HNF1B_HUMAN
ENSG00000215644		I3L1L8	I3L1L8_HUMAN
ENSG00000215644		I3L454	I3L454_HUMAN
ENSG00000215644		P47871	GLR_HUMAN
ENSG00000104918	ENSG00000104918 -> Q9HD89-1;Q9HD89-2	Q9HD89	RETN_HUMAN
ENSG00000105221		A0A0A0MRF1	A0A0A0MRF1_HUMAN
ENSG00000105221		A0A1B0GXA2	A0A1B0GXA2_HUMAN
ENSG00000105221		A8MX96	A8MX96_HUMAN
ENSG00000105221		C9J258	C9J258_HUMAN
ENSG00000105221		C9JC83	C9JC83_HUMAN
ENSG00000105221		C9JHS6	C9JHS6_HUMAN
ENSG00000105221		C9JIF6	C9JIF6_HUMAN
ENSG00000105221		C9JIJ1	C9JIJ1_HUMAN
ENSG00000105221		E7EVP8	E7EVP8_HUMAN
ENSG00000105221		J3KRI8	J3KRI8_HUMAN
ENSG00000105221		J3KSY8	J3KSY8_HUMAN
ENSG00000105221		J3KT31	J3KT31_HUMAN
ENSG00000105221		J3KTC6	J3KTC6_HUMAN
ENSG00000105221		J3KTP4	J3KTP4_HUMAN
ENSG00000105221		J3QKW1	J3QKW1_HUMAN
ENSG00000105221		J3QL45	J3QL45_HUMAN
ENSG00000105221		J3QLS6	J3QLS6_HUMAN
ENSG00000105221		M0QZK3	M0QZK3_HUMAN
ENSG00000105221		M0QZW8	M0QZW8_HUMAN
ENSG00000105221		M0R0P9	M0R0P9_HUMAN
ENSG00000105221		M0R275	M0R275_HUMAN
ENSG00000105221		M0R283	M0R283_HUMAN
ENSG00000105221	ENSG00000105221 -> P31751-1;P31751-2	P31751	AKT2_HUMAN
ENSG00000101076		A0A087WXV4	A0A087WXV4_HUMAN
ENSG00000101076		B9VVT8	B9VVT8_HUMAN
ENSG00000101076		F8WBS7	F8WBS7_HUMAN
ENSG00000101076	ENSG00000101076 -> P41235-1;P41235-2;P41235-3;P41235-5;P41235-6;P41235-7	P41235	HNF4A_HUMAN
ENSG00000196396		B4DSN5	B4DSN5_HUMAN
ENSG00000196396		P18031	PTN1_HUMAN
